model,stage,layout,scale_strategy,grid,best_params,train_rmse_scaled,test_rmse_scaled,cv_rmse_scaled,r2,target_spread_hours,train_rmse_hours,test_rmse_hours,cv_rmse_hours,train_samples,search_samples,track
gpr,1. reproduce,original,original,original,"{'alpha': 0.01, 'kernel': RBF(length_scale=1)}",0.0836517381967342,0.0928455580227506,0.0868679116201739,0.0772760245366892,6643.333333333332,555.7263807536375,616.8039904644736,577.0924928633553,360,360,real
gpr,2. layout fix,fixed,original,original,"{'alpha': 0.001, 'kernel': RBF(length_scale=1)}",0.048500639468682,0.0670891984500837,0.0628366567052392,0.5182133631430317,6643.333333333332,322.2059148702777,445.6959083700564,417.4448560451392,360,360,real
gpr,3. scale fix,fixed,principled,original,"{'alpha': 0.001, 'kernel': RBF(length_scale=1)}",0.0482966118644178,0.067116605630669,0.0629945127360781,0.5178196452036674,6643.333333333332,320.85049148594914,445.87798340641154,418.4935462766791,360,360,real
gpr,4. regrid,fixed,principled,extended,"{'alpha': 1e-06, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.001)}",0.0528441732975965,0.0669694908397928,0.0608594750595393,0.5199311381264993,6643.333333333332,351.06145794036627,444.900650812357,404.30977931220633,360,360,real
random_forest,1. reproduce,original,original,original,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.0694522786798137,0.0920802597221814,0.0856375764557692,0.0924248108801965,6643.333333333332,461.3946380295623,611.7198587543583,568.9189662544934,360,360,real
random_forest,2. layout fix,fixed,original,original,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.0195184301605421,0.0482932326773449,0.0378171824027505,0.7503554448018471,6643.333333333332,129.66743769986823,320.8280424198281,251.23214842893933,360,360,real
random_forest,3. scale fix,fixed,principled,original,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.0194275688668836,0.0483689517312358,0.0378333001617788,0.7495719947245918,6643.333333333332,129.06381583899676,321.3310693345102,251.33922407475055,360,360,real
svr,1. reproduce,original,original,original,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.0826132960479577,0.0910528336493202,0.0849420975504283,0.1125651582844793,6643.333333333332,548.8276634119322,604.8943248769837,564.2986680600125,360,360,real
svr,2. layout fix,fixed,original,original,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.0690405276184896,0.0765288538484213,0.0708911288896431,0.3730975577045811,6643.333333333332,458.65923847883295,508.40668573301264,470.9533995901957,360,360,real
svr,3. scale fix,fixed,principled,original,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.0690002204959858,0.076465946777974,0.070942934888346,0.3741277675035496,6643.333333333332,458.39146482833286,507.9887730950076,471.2975641082457,360,360,real
