model,stage,layout,scale_strategy,grid,best_params,train_rmse_scaled,test_rmse_scaled,cv_rmse_scaled,r2,target_spread_hours,train_rmse_hours,test_rmse_hours,cv_rmse_hours,train_samples,search_samples
gpr,1. reproduce,original,original,original,"{'alpha': 0.01, 'kernel': RBF(length_scale=1)}",0.08365173819673422,0.09284555802275068,0.08686791162017392,0.07727602453668925,6643.333333333332,555.7263807536375,616.8039904644736,577.0924928633553,360,360
gpr,2. layout fix,fixed,original,original,"{'alpha': 0.001, 'kernel': RBF(length_scale=1)}",0.04850063946868205,0.06708919845008376,0.06283665670523923,0.5182133631430317,6643.333333333332,322.2059148702777,445.6959083700564,417.4448560451392,360,360
gpr,3. scale fix,fixed,principled,original,"{'alpha': 0.001, 'kernel': RBF(length_scale=1)}",0.04829661186441784,0.06711660563066908,0.06299451273607815,0.5178196452036674,6643.333333333332,320.85049148594914,445.87798340641154,418.49354627667907,360,360
gpr,4. regrid,fixed,principled,extended,"{'alpha': 1e-06, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.001)}",0.05284417329759654,0.06696949083979284,0.06085947505953935,0.5199311381264993,6643.333333333332,351.06145794036627,444.900650812357,404.30977931220633,360,360
random_forest,1. reproduce,original,original,original,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.06945227867981371,0.0920802597221814,0.08563757645576922,0.0924248108801965,6643.333333333332,461.3946380295623,611.7198587543583,568.9189662544934,360,360
random_forest,2. layout fix,fixed,original,original,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.019518430160542135,0.04829323267734493,0.03781718240275053,0.7503554448018471,6643.333333333332,129.66743769986823,320.8280424198281,251.23214842893933,360,360
random_forest,3. scale fix,fixed,principled,original,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.01942756886688361,0.048368951731235864,0.03783330016177882,0.7495719947245918,6643.333333333332,129.06381583899676,321.3310693345102,251.33922407475058,360,360
svr,1. reproduce,original,original,original,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}",0.08261329604795771,0.0910528336493202,0.08494209755042838,0.11256515828447933,6643.333333333332,548.8276634119322,604.8943248769837,564.2986680600125,360,360
svr,2. layout fix,fixed,original,original,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.06904052761848967,0.07652885384842138,0.07089112888964312,0.3730975577045811,6643.333333333332,458.65923847883295,508.40668573301264,470.9533995901957,360,360
svr,3. scale fix,fixed,principled,original,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.06900022049598589,0.07646594677797405,0.07094293488834608,0.3741277675035496,6643.333333333332,458.39146482833286,507.98877309500756,471.2975641082457,360,360
svr,4. regrid,fixed,principled,extended,"{'C': 100.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.06906614756688575,0.07667235127287506,0.07015976668456447,0.37074437400449145,6643.333333333332,458.829440336011,509.3599869561332,466.09471667445655,360,360
xgboost,1. reproduce,original,original,original,"{'learning_rate': 0.01, 'n_estimators': 100}",0.07003367837232137,0.0952776314788544,0.08756734731004126,0.028301687602987124,6643.333333333332,465.2570699867882,632.9610651245226,581.739077296374,360,360
xgboost,2. layout fix,fixed,original,original,"{'learning_rate': 0.1, 'n_estimators': 200}",0.001980270061313179,0.05042886296579474,0.04012414260045437,0.7277876054797452,6643.333333333332,13.155594107323884,335.015746302763,266.55805400901846,360,360
xgboost,3. scale fix,fixed,principled,original,"{'learning_rate': 0.1, 'n_estimators': 200}",0.001980270061313179,0.050427035896582616,0.04021581475915168,0.7278073299726754,6643.333333333332,13.155594107323884,335.0036084729638,267.16706271663094,360,360
