model,stage,layout,scale_strategy,grid,best_params,train_rmse_scaled,test_rmse_scaled,cv_rmse_scaled,r2,target_spread_hours,train_rmse_hours,test_rmse_hours,cv_rmse_hours,train_samples,search_samples
gpr,1. reproduce,original,original,original,"{'alpha': 0.01, 'kernel': RBF(length_scale=1)}",0.04979455218334028,0.04905908735932902,0.050221604925602056,0.5405047424322422,15072.021484374998,750.5045603121366,739.4196186836368,756.9411084184675,4000,2000
gpr,2. layout fix,fixed,original,original,"{'alpha': 0.01, 'kernel': RBF(length_scale=1)}",0.0554085210063249,0.05501035073998065,0.055877214275519616,0.5237874452219647,15375.221354166664,851.9182753792388,845.7963193975485,859.1245381403156,4000,2000
gpr,3. scale fix,fixed,principled,original,"{'alpha': 0.01, 'kernel': RBF(length_scale=1)}",0.055407785267805924,0.05501539329790028,0.055876307117353384,0.5237001365821583,15375.221354166664,851.9069632366508,845.8738498417539,859.1105903827065,4000,2000
gpr,4. regrid,fixed,principled,extended,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.001)}",0.0551024321269032,0.054889151432419944,0.05581556924540343,0.5258835253308832,15375.221354166664,847.2120911040814,843.9328532158308,858.1767321568949,4000,2000
random_forest,1. reproduce,original,original,original,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.026309120170583386,0.052034940927065496,0.05343555857385534,0.4830694068203465,15072.021484374998,396.5316244460364,784.2717475909151,805.3818868547263,4000,2000
random_forest,2. layout fix,fixed,original,original,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.03261102507007633,0.057719715788807836,0.05923318794228449,0.4757235128093381,15375.221354166664,501.401729038702,887.4534067525091,910.7233761255799,4000,2000
random_forest,3. scale fix,fixed,principled,original,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.032611149136275254,0.057719620892617556,0.05923339799352305,0.4757252367194341,15375.221354166664,501.403636583973,887.4519477025777,910.7266057098684,4000,2000
svr,1. reproduce,original,original,original,"{'C': 10.0, 'gamma': 0.1, 'kernel': 'rbf'}",0.049898285960224824,0.04956697522754644,0.0508385959143505,0.5309415776719555,15072.021484374998,752.0680380259959,747.0745155450633,766.2404098565497,4000,2000
svr,2. layout fix,fixed,original,original,"{'C': 10.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.05566928903588459,0.055206266490362615,0.056426196552357505,0.5203894055700338,15375.221354166664,855.9276415558089,848.8085674264388,867.5652621662125,4000,2000
svr,3. scale fix,fixed,principled,original,"{'C': 10.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.05566346910017787,0.05520439548047122,0.05642456347983539,0.5204219142331613,15375.221354166664,855.8381587560511,848.7798002352029,867.5401533146976,4000,2000
svr,4. regrid,fixed,principled,extended,"{'C': 100.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.055467582851624696,0.0549313217397638,0.056145628173805286,0.5251547358597302,15375.221354166664,852.8263643243087,844.5812310258159,863.2514612409925,4000,2000
xgboost,1. reproduce,original,original,original,"{'learning_rate': 0.01, 'n_estimators': 300}",0.03910724073648453,0.05221373587846756,0.05373315513134003,0.47951096296310425,15072.021484374998,589.4251725749199,786.9665489397447,809.8672685628115,4000,2000
xgboost,2. layout fix,fixed,original,original,"{'learning_rate': 0.01, 'n_estimators': 300}",0.0427493080496788,0.05781952291727066,0.05965231731534004,0.47390884160995483,15375.221354166664,657.2800740012703,888.9879634453487,917.1675830123421,4000,2000
xgboost,3. scale fix,fixed,principled,original,"{'learning_rate': 0.01, 'n_estimators': 300}",0.0427493080496788,0.05781947076320648,0.0596439465880394,0.47390979528427124,15375.221354166664,657.2800740012703,888.9871615650674,917.0388812271993,4000,2000
